index,question,options,option1,option2,option3,option4,answer,explanation
1,"To schedule the processes, they are considered _________","['a) infinitely long', 'b) periodic', 'c) heavy weight', 'd) light weight']",a) infinitely long,b) periodic,c) heavy weight,d) light weight,b,None.
2,"If the period of a process is ‘p’, then what is the rate of the task?","['a) p', '<sup>2</sup>', 'b) 2*p', 'c) 1/p']",a) p,<sup>2</sup>,b) 2*p,c) 1/p,c,None.
3,The scheduler admits a process using __________,"['a) two phase locking protocol', 'b) admission control algorithm', 'c) busy wait polling', 'd) none of the mentioned']",a) two phase locking protocol,b) admission control algorithm,c) busy wait polling,d) none of the mentioned,c,None.
4,The ____________ scheduling algorithm schedules periodic tasks using a static priority policy with preemption,"['a) earliest deadline first', 'b) rate monotonic', 'c) first cum first served', 'd) priority']",a) earliest deadline first,b) rate monotonic,c) first cum first served,d) priority,b,None.
5,Rate monotonic scheduling assumes that the __________,"['a) processing time of a periodic process is same for each CPU burst', 'b) processing time of a periodic process is different for each CPU burst', 'c) periods of all processes is the same', 'd) none of the mentioned']",a) processing time of a periodic process is same for each CPU burst,b) processing time of a periodic process is different for each CPU burst,c) periods of all processes is the same,d) none of the mentioned,a,None.
6,"In rate monotonic scheduling, a process with a shorter period is assigned __________","['a) a higher priority', 'b) a lower priority', 'c) higher & lower priority', 'd) none of the mentioned']",a) a higher priority,b) a lower priority,c) higher & lower priority,d) none of the mentioned,a,None.
7,"There are two processes P1 and P2, whose periods are 50 and 100 respectively","['a) yes', 'b) no', 'c) maybe', 'd) none of the mentioned']",a) yes,b) no,c) maybe,d) none of the mentioned,a,None.
8,"If a set of processes cannot be scheduled by rate monotonic scheduling algorithm, then __________","['a) they can be scheduled by EDF algorithm', 'b) they cannot be scheduled by EDF algorithm', 'c) they cannot be scheduled by any other algorithm', 'd) none of the mentioned']",a) they can be scheduled by EDF algorithm,b) they cannot be scheduled by EDF algorithm,c) they cannot be scheduled by any other algorithm,d) none of the mentioned,c,None.
9,"A process P1 has a period of 50 and a CPU burst of t1 = 25, P2 has a period of 80 and a CPU burst of 35","['a) 0.90', 'b) 0.74', 'c) 0.94', 'd) 0.80']",a) 0.90,b) 0.74,c) 0.94,d) 0.80,c,None.
10,"A process P1 has a period of 50 and a CPU burst of t1 = 25, P2 has a period of 80 and a CPU burst of 35","['a) Yes', 'b) No', 'c) Maybe', 'd) None of the mentioned']",a) Yes,b) No,c) Maybe,d) None of the mentioned,b,None.
