index,question,options,option1,option2,option3,option4,answer,explanation
1,To organise file systems on disk _______________,"['a) they are split into one or more partitions', 'b) information about files is added to each partition', 'c) they are made on different storage spaces', 'd) all of the mentioned']",a) they are split into one or more partitions,b) information about files is added to each partition,c) they are made on different storage spaces,d) all of the mentioned,b,None.
2,The directory can be viewed as a _________ that translates file names into their directory entries,"['a) symbol table', 'b) partition', 'c) swap space', 'd) cache']",a) symbol table,b) partition,c) swap space,d) cache,a,None.
3,What will happen in the single level directory?,"['a) All files are contained in different directories all at the same level', 'b) All files are contained in the same directory', 'c) Depends on the operating system', 'd) None of the mentioned']",a) All files are contained in different directories all at the same level,b) All files are contained in the same directory,c) Depends on the operating system,d) None of the mentioned,b,None.
4,What will happen in the single level directory?,"['a) all directories must have unique names', 'b) all files must have unique names', 'c) all files must have unique owners', 'd) all of the mentioned']",a) all directories must have unique names,b) all files must have unique names,c) all files must have unique owners,d) all of the mentioned,b,None.
5,What will happen in the two level directory structure?,"['a) each user has his/her own user file directory', 'b) the system doesn’t its own master file directory', 'c) all of the mentioned', 'd) none of the mentioned']",a) each user has his/her own user file directory,b) the system doesn’t its own master file directory,c) all of the mentioned,d) none of the mentioned,a,None.
6,"When a user job starts in a two level directory system, or a user logs in _____________","['a) the users user file directory is searched', 'b) the system’s master file directory is not searched', 'c) the master file directory is indexed by user name or account number, and each entry points to the UFD for that user', 'd) all of the mentioned']",a) the users user file directory is searched,b) the system’s master file directory is not searched,"c) the master file directory is indexed by user name or account number, and each entry points to the UFD for that user",d) all of the mentioned,c,None.
7,When a user refers to a particular file?,"['a) system MFD is searched', 'b) his own UFD is not searched', 'c) both MFD and UFD are searched', 'd) every directory is searched']",a) system MFD is searched,b) his own UFD is not searched,c) both MFD and UFD are searched,d) every directory is searched,c,None.
8,What is the disadvantage of the two level directory structure?,"['a) it does not solve the name collision problem', 'b) it solves the name collision problem', 'c) it does not isolate users from one another', 'd) it isolates users from one another']",a) it does not solve the name collision problem,b) it solves the name collision problem,c) it does not isolate users from one another,d) it isolates users from one another,d,None.
9,In the tree structured directories _____________,"['a) the tree has the stem directory', 'b) the tree has the leaf directory', 'c) the tree has the root directory', 'd) all of the mentioned']",a) the tree has the stem directory,b) the tree has the leaf directory,c) the tree has the root directory,d) all of the mentioned,c,None.
10,"The current directory contains, most of the files that are _____________","['a) of current interest to the user', 'b) stored currently in the system', 'c) not used in the system', 'd) not of current interest to the system']",a) of current interest to the user,b) stored currently in the system,c) not used in the system,d) not of current interest to the system,a,None.
11,Which of the following are the types of Path names?,"['a) absolute & relative', 'b) local & global', 'c) global & relative', 'd) relative & local']",a) absolute & relative,b) local & global,c) global & relative,d) relative & local,a,None.
